,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,2.6063857,0.0,0.0,1.8268545,0.3411402,1.5238711,1.2336173,0.6788741,0.0,2.2382212,0.0,0.0,0.0,1.8152444,2.2468162,2.043582,2.058047,2.3823228,1.9726521,0.0,2.1060627,1.1189513,0.73149586,1.7369962,0.8463119,1.255997,1.9501132,1.3239523,0.0,2.6462226,1.88487,0.0,0.8773572,1.6796527,0.08935991,0.52314615,0.0,0.43094942,0.0,1.3656379
1,2.5855365,0.0,0.0,1.8045828,0.2950952,1.646291,1.2629058,0.84869677,0.0,2.326456,0.0,0.0,0.0,1.7665452,2.211532,2.039638,2.191341,2.5350225,2.2199419,0.0,2.117924,0.9827759,0.70809114,1.7397275,0.67403847,1.2229179,2.0281272,1.2571896,0.0,2.6118817,2.0033479,0.0,1.1397083,1.6275454,0.22480085,0.7009255,0.0,0.5156624,0.0,1.3260201
2,2.558629,0.0,0.0,1.7933145,0.30854046,1.7599378,1.3162955,1.0115784,0.0,2.3298624,0.0,0.0,0.0,1.7254218,2.121424,2.0220501,2.2656195,2.6313443,2.4085875,0.0,2.1009285,0.8632639,0.7281133,1.7474612,0.55727905,1.1528709,2.0999632,1.2335595,0.0,2.589107,2.0751996,0.0,1.3458515,1.6444564,0.36910322,0.8730258,0.0,0.5385861,0.0,1.2827448
3,2.4955611,0.0,0.0,1.74174,0.39580613,1.8907175,1.3687353,1.1705632,0.0,2.2483518,0.0,0.0,0.0,1.6619081,1.9845428,1.9627643,2.2949798,2.6931865,2.5610569,0.0,2.0433385,0.7310457,0.7651812,1.7281461,0.42584908,1.0680025,2.1623306,1.2096472,0.0,2.5522866,2.0863519,0.0,1.4982185,1.6889513,0.53119326,1.056354,0.0,0.5172736,0.0,1.2135289
4,2.3442054,0.0,0.0,1.6228755,0.5780184,2.0239844,1.4427925,1.3470892,0.0,2.0259407,0.0,0.0,0.0,1.5811383,1.7787395,1.8659079,2.2874842,2.6742027,2.6217468,0.0,1.9656913,0.5708603,0.83772624,1.6637291,0.26339233,0.93891644,2.2082672,1.2169259,0.0,2.429182,2.043274,0.0,1.5821483,1.702452,0.7390976,1.3127699,0.0,0.4619309,0.0,1.0923911
5,2.0493007,0.0,0.0,1.404061,0.97567034,2.1424937,1.6001552,1.6001596,0.0,1.6403084,0.0,0.0,0.0,1.5201564,1.5111347,1.7809197,2.2622263,2.5175965,2.5096316,0.0,1.8880605,0.43474978,1.0070971,1.5370977,0.1795045,0.82909423,2.2416103,1.2965468,0.0,2.1124654,1.9400332,0.0,1.5901353,1.5994854,1.094743,1.7141035,0.0,0.45428964,0.0,0.933305
6,1.624402,0.0,0.0,1.190344,1.5964017,2.1632345,1.8462832,1.9319108,0.0,1.2918259,0.0,0.0,0.0,1.5262657,1.285085,1.6945354,2.205045,2.2163267,2.1352959,0.0,1.8514419,0.5278985,1.3925395,1.3927953,0.41245896,0.8737967,2.1657248,1.5267743,0.0,1.6187068,1.8245138,0.0,1.5383172,1.4082947,1.6325572,2.2694972,0.0,0.6696684,0.0,0.84224623
7,1.1444944,0.0,0.0,1.0173057,2.0540218,1.963217,2.023336,2.0977619,0.0,1.0716277,0.0,0.0,0.0,1.5323594,1.1625676,1.6019086,2.0203514,1.7718446,1.5482031,0.0,1.8247349,0.76861954,1.6875098,1.220518,0.85009277,1.0136678,1.9376006,1.7313514,0.0,1.056954,1.6158376,0.0,1.375828,1.0708575,2.0280752,2.5803552,0.0,0.99417454,0.0,0.7636176
8,0.8811597,0.0,0.0,0.9602132,2.285071,1.7084078,2.109192,2.1182513,0.0,1.1162928,0.0,0.0,0.0,1.5782135,1.2392936,1.5568566,1.9190705,1.5056343,1.1211315,0.0,1.8593606,1.0070052,1.860423,1.1112077,1.2425294,1.215426,1.7069978,1.7896751,0.0,0.6573298,1.4730504,0.0,1.2817943,0.7542346,2.227709,2.6647787,0.0,1.3224338,0.0,0.8022393
9,0.7736577,0.0,0.0,0.96897423,2.3539877,1.4911809,2.1573007,2.1154428,0.0,1.3308645,0.0,0.0,0.0,1.6601292,1.4160886,1.5459245,1.9038659,1.4380004,0.92017937,0.0,1.9644525,1.1623147,1.9526424,1.0680956,1.511087,1.4254218,1.5783553,1.7620319,0.0,0.42663145,1.4234006,0.0,1.277422,0.51250654,2.291944,2.6361272,0.0,1.5911909,0.0,0.8584498
10,0.74938273,0.0,0.0,1.0143988,2.3225517,1.324944,2.1682127,2.101299,0.0,1.6335019,0.0,0.0,0.0,1.7287209,1.6040027,1.5348363,1.9400952,1.4814782,0.88291425,0.0,2.1055734,1.243305,1.9765385,1.0443339,1.6708184,1.6206474,1.5261745,1.6415621,0.0,0.27346134,1.4075551,0.0,1.3453329,0.32374567,2.2646973,2.5428402,0.0,1.7978026,0.0,0.9254514
11,0.80856127,0.0,0.0,1.054168,2.2523873,1.2216842,2.1832483,2.1020317,0.0,1.954862,0.0,0.0,0.0,1.7897451,1.7820604,1.5120121,2.011727,1.5942163,0.96986866,0.0,2.2647085,1.2937188,1.9851031,1.049291,1.7704623,1.8069516,1.5369589,1.4310848,0.0,0.20454574,1.438938,0.0,1.484819,0.2174955,2.1445494,2.3912587,0.0,1.9815351,0.0,1.0123384
12,0.92235357,0.0,0.0,1.137209,2.163332,1.167692,2.1841738,2.1668289,0.0,2.3065388,0.0,0.0,0.0,1.7930998,1.9581468,1.4901153,2.119277,1.7815516,1.1802912,0.0,2.4058669,1.3185918,1.9777439,1.0902045,1.8281269,2.0088363,1.6052489,1.2128093,0.0,0.26314378,1.5298901,0.0,1.7106187,0.2731802,2.0093462,2.2336514,0.0,2.0839882,0.0,1.111322
13,1.0832171,0.0,0.0,1.2588811,2.119368,1.2120003,2.2019656,2.2983668,0.0,2.6212375,0.0,0.0,0.0,1.7638164,2.0704238,1.4610777,2.2493703,2.010622,1.4708374,0.0,2.509217,1.373605,1.998079,1.1944869,1.8912504,2.1803894,1.7681396,1.0462252,0.0,0.4667647,1.7030779,0.0,2.0034106,0.5310937,1.9001708,2.1473012,0.0,2.1054451,0.0,1.2464947
14,1.1767598,0.0,0.0,1.2569711,2.1055098,1.2329578,2.134852,2.3875072,0.0,2.7301626,0.0,0.0,0.0,1.6303134,1.9888148,1.3398973,2.2683902,2.1432905,1.6727318,0.0,2.4723337,1.3727179,1.9612796,1.2696931,1.8755502,2.1887276,1.9171844,0.88499284,0.0,0.68658745,1.8344626,0.0,2.2458832,0.8860936,1.7651235,2.1053495,0.0,1.9599228,0.0,1.3147787
15,1.268678,0.0,0.0,1.1437365,2.25834,1.3271854,2.1284735,2.4746792,0.0,2.6597662,0.0,0.0,0.0,1.5364277,1.7509295,1.2086385,2.2339132,2.239097,1.7693369,0.0,2.3213956,1.4053359,1.91662,1.39549,1.9137752,2.0763848,2.1190987,0.87598443,0.0,1.0503786,2.004158,0.0,2.447542,1.4156795,1.7376524,2.2727544,0.0,1.7216493,0.0,1.390245
