,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1.1700566,2.3835583,0.0,0.0,2.176888,0.0,2.2602944,0.0,2.1365294,2.635729,2.1938102,2.3661664,0.0,2.4569838,1.9094781,0.0,3.360611,1.1301761,3.770821,1.7520884,1.5386994,2.4276597,1.9485762,2.3294573,2.8387265,0.9755175,2.1354978,0.54062796,1.6307116,2.4740765,2.8213549,2.2170963,2.530656,1.2376437,0.0,0.0,1.0522206,2.7301717,2.375802,0.0
1,0.97942394,2.2695878,0.0,0.0,2.0762515,0.0,1.8035084,0.0,2.112426,2.7637577,1.8686196,2.3076386,0.0,2.407893,1.6337856,0.0,3.2908685,1.0572481,3.7383165,2.034551,1.4876487,2.2814367,1.6703341,2.06432,2.6994762,0.8134477,1.7528256,0.6199304,1.2894799,2.4343293,2.8850684,2.1057403,2.5299742,1.1159213,0.0,0.0,1.1631644,2.2643476,2.1484842,0.0
2,0.90063184,2.1014988,0.0,0.0,1.9865614,0.0,1.4243026,0.0,2.0794454,2.7334337,1.5682319,2.2737224,0.0,2.3176515,1.4782068,0.0,3.1259782,1.0098162,3.5499892,2.2382748,1.4925314,2.1072083,1.3872838,1.8339977,2.469859,0.7265569,1.4616756,0.7487392,1.1170301,2.3360589,2.8561382,1.9815662,2.458118,1.0630958,0.0,0.0,1.1945609,1.8384418,1.9518373,0.0
3,0.9451724,1.888796,0.0,0.0,1.9458184,0.0,1.1245751,0.0,2.0683916,2.6005583,1.2996951,2.285797,0.0,2.2123342,1.4647974,0.0,2.886298,0.970378,3.2471206,2.4128923,1.551702,1.9375676,1.1588233,1.6239171,2.1571116,0.72322905,1.2576542,0.9525789,1.0827664,2.1860828,2.7707994,1.8953662,2.3640854,1.1114365,0.0,0.0,1.2107677,1.4222859,1.8050761,0.0
4,1.1257021,1.5140352,0.0,0.0,1.8807616,0.0,0.8421788,0.0,1.9984931,2.2538493,1.0135542,2.2392006,0.0,1.951641,1.5387079,0.0,2.4218462,0.9331406,2.6144252,2.5132654,1.6625737,1.6630687,1.0041754,1.3421292,1.6359376,0.8001563,1.0202718,1.2849675,1.1099389,1.8265191,2.4565895,1.7435052,2.1926405,1.1881962,0.0,0.0,1.1729903,0.9124286,1.6868231,0.0
5,1.5692003,0.9958383,0.0,0.0,1.749356,0.0,0.67986715,0.0,1.7640536,1.6222231,0.7398376,1.9606044,0.0,1.4744748,1.8006927,0.0,1.644094,0.9411453,1.5810678,2.4420307,1.8239461,1.2607204,1.0803471,1.0253212,0.9182242,1.1271486,0.80105215,1.8641611,1.2051157,1.2239939,1.75903,1.6140075,1.8467151,1.3240559,0.0,0.0,1.1508303,0.3996157,1.5345008,0.0
6,2.1736963,0.76471996,0.0,0.0,1.7672142,0.0,1.0631952,0.0,1.6330562,1.2130076,0.8979737,1.7327324,0.0,1.1062008,2.358575,0.0,1.199708,1.2476444,0.82015634,2.4490252,2.0983238,1.1446532,1.6259272,1.0491978,0.54380995,1.694476,0.9350279,2.554676,1.4920934,0.9238791,1.2131976,1.7527986,1.6717392,1.6353394,0.0,0.0,1.3526864,0.40558702,1.572484,0.0
7,2.3636463,0.6645532,0.0,0.0,1.6579124,0.0,1.3328358,0.0,1.4397601,1.0120751,1.057239,1.4449468,0.0,0.84384304,2.5826414,0.0,0.992258,1.3574128,0.3775454,2.2892995,2.144392,1.0966357,2.0118232,1.0213201,0.44818157,1.9498142,0.9886552,2.8062868,1.480711,0.75385505,0.8337829,1.820641,1.5252343,1.7015234,0.0,0.0,1.4164562,0.50357264,1.5331117,0.0
8,2.3969703,0.70813036,0.0,0.0,1.5658749,0.0,1.5085901,0.0,1.2936507,1.0411075,1.1898371,1.2605025,0.0,0.7519677,2.704771,0.0,1.0265019,1.4380493,0.24748722,2.2131276,2.1544158,1.1389886,2.3177655,1.0613817,0.51669246,2.059094,1.0189041,2.8964307,1.3638579,0.7611156,0.7026755,1.895375,1.5279785,1.7009702,0.0,0.0,1.4792781,0.590858,1.5255872,0.0
9,2.341697,0.78258514,0.0,0.0,1.4872866,0.0,1.5585927,0.0,1.1932275,1.195083,1.2731264,1.1152091,0.0,0.75560457,2.7389436,0.0,1.2018195,1.4748145,0.21692368,2.2089028,2.1909106,1.1947297,2.4939134,1.0851855,0.6176414,2.057223,0.9985737,2.8653927,1.168056,0.8006386,0.6808552,1.9397473,1.586809,1.6569121,0.0,0.0,1.5291591,0.6387581,1.4931779,0.0
10,2.1964915,0.89137435,0.0,0.0,1.3877659,0.0,1.5085458,0.0,1.100876,1.4075184,1.3166009,1.041853,0.0,0.84411937,2.715525,0.0,1.4590213,1.490829,0.2615628,2.222478,2.2431479,1.2722303,2.5766327,1.1246086,0.74475896,1.9668481,0.9138302,2.7231398,0.91443896,0.8719216,0.7395785,1.9785116,1.65654,1.6341741,0.0,0.0,1.5400947,0.601528,1.4228226,0.0
11,1.9346826,1.0327502,0.0,0.0,1.1968821,0.0,1.3046806,0.0,0.937523,1.6168296,1.268463,1.004054,0.0,0.9731429,2.583157,0.0,1.7629337,1.4792954,0.3235645,2.1744792,2.2477446,1.3339515,2.5059078,1.1467874,0.84348154,1.745283,0.7944804,2.3952734,0.59741277,0.95171326,0.83402467,1.9576886,1.6929874,1.5832938,0.0,0.0,1.4609755,0.48657963,1.2716454,0.0
12,1.6988697,1.3487916,0.0,0.0,1.0943851,0.0,1.0255777,0.0,0.7931234,1.9023196,1.2650087,1.1788229,0.0,1.300364,2.5159423,0.0,2.23415,1.5355449,0.56090033,2.1781855,2.252457,1.47504,2.380194,1.2772992,0.9790368,1.5202354,0.7393026,1.9815321,0.40158206,1.1584171,1.092302,2.0561771,1.8130507,1.6713688,0.0,0.0,1.3991191,0.4385239,1.119965,0.0
13,1.4650447,1.752671,0.0,0.0,1.0829813,0.0,0.8014499,0.0,0.66394734,2.075553,1.26779,1.481607,0.0,1.6981988,2.484195,0.0,2.736695,1.6562338,0.9303227,2.2016296,2.1738424,1.6397479,2.1622186,1.4788474,1.0894054,1.319316,0.78002006,1.4837086,0.413789,1.4017743,1.3865799,2.1831734,1.9242853,1.8303045,0.0,0.0,1.2882973,0.4645359,0.9789398,0.0
14,1.2988999,2.0584142,0.0,0.0,1.1522386,0.0,0.7161751,0.0,0.54386115,2.046747,1.2119981,1.8367908,0.0,2.027993,2.461039,0.0,3.0488799,1.7597638,1.2545531,2.1564877,1.9626905,1.7612259,1.9467232,1.6508334,1.0740614,1.194848,0.8411911,1.0617336,0.54750526,1.6149279,1.5776366,2.3028178,1.9044013,1.9797843,0.0,0.0,1.2211287,0.5056072,0.81767106,0.0
