,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0,0.88195044,1.4851017,0.7588513,0.0,1.9170691,0.0,0.0,0.0,0.6118548,1.6401898,0.0,2.8479352,0.0,0.0,0.0,0.0,0.0,1.6105207,1.2866896,0.0,1.6757208,0.0,1.6725819,0.7608203,1.8785282,1.5801433,0.0,0.0,1.5512751,1.2144912,1.7105489,2.027193,0.0,0.0,1.6744801,0.9881785,2.5403748,1.3464987,1.1947875
1,0.0,0.6305962,1.7313995,0.5107545,0.0,1.9934074,0.0,0.0,0.0,0.584936,1.8185745,0.0,2.6334713,0.0,0.0,0.0,0.0,0.0,1.167756,0.9318033,0.0,1.938303,0.0,1.762258,0.80962616,1.6147726,1.6977417,0.0,0.0,1.3182323,0.8462377,1.9874005,2.4641197,0.0,0.0,1.3329164,1.4571884,1.6461403,0.986878,1.6636944
2,0.0,0.48876905,1.805602,0.5653645,0.0,2.0059137,0.0,0.0,0.0,0.8832789,1.8656929,0.0,2.0126512,0.0,0.0,0.0,0.0,0.0,0.65219176,0.6886613,0.0,2.002627,0.0,1.7460699,1.2109269,1.265032,1.561365,0.0,0.0,1.0178256,0.6052325,2.197873,2.7180917,0.0,0.0,0.83799136,2.1224406,0.49007398,0.6341051,2.0409951
3,0.0,0.5251657,1.7125351,0.839371,0.0,2.063618,0.0,0.0,0.0,1.2425725,1.7872537,0.0,1.5466802,0.0,0.0,0.0,0.0,0.0,0.47223273,0.7425999,0.0,1.9198639,0.0,1.7460912,1.5917912,1.1008142,1.4140292,0.0,0.0,0.8761594,0.7031525,2.2342968,2.6672435,0.0,0.0,0.5207772,2.5145476,0.0,0.6103925,2.092947
4,0.0,0.58091056,1.6074448,1.0867454,0.0,2.1896853,0.0,0.0,0.0,1.5034115,1.6853138,0.0,1.4095954,0.0,0.0,0.0,0.0,0.0,0.4816676,0.9230953,0.0,1.8735588,0.0,1.7044909,1.8073454,1.0536815,1.3261225,0.0,0.0,0.86067724,0.91133887,2.2785444,2.6260297,0.0,0.0,0.38845485,2.7126627,0.0,0.7346718,2.0787482
5,0.0,0.53247696,1.4319487,1.202952,0.0,2.351674,0.0,0.0,0.0,1.6584657,1.4443307,0.0,1.3728982,0.0,0.0,0.0,0.0,0.0,0.4766949,1.1457579,0.0,1.8374245,0.0,1.6081161,1.8108705,0.9914885,1.2315642,0.0,0.0,0.85441613,1.093046,2.247323,2.5499172,0.0,0.0,0.2217548,2.7036295,0.0,0.8971376,1.9381558
6,0.0,0.45664275,1.2258825,1.255533,0.0,2.678236,0.0,0.0,0.0,1.777826,1.0718697,0.0,1.4939741,0.0,0.0,0.0,0.0,0.0,0.57035434,1.5544962,0.0,1.8610332,0.0,1.4760988,1.6638851,0.97177523,1.2456622,0.0,0.0,0.93252623,1.3732543,2.206421,2.477111,0.0,0.0,0.08264734,2.5281136,0.0,1.2244904,1.7237154
7,0.0,0.47665203,1.0531726,1.2523265,0.0,3.0474513,0.0,0.0,0.0,1.7998195,0.67476964,0.0,1.7469772,0.0,0.0,0.0,0.0,0.0,0.781803,2.1212301,0.0,1.8744076,0.0,1.2589439,1.3780823,1.026253,1.4614586,0.0,0.0,1.1554143,1.699727,2.0247297,2.2695057,0.0,0.0,0.16673423,2.0947068,0.5951595,1.7903486,1.3666327
8,0.0,0.7703359,1.0091559,1.1400594,0.0,3.0886164,0.0,0.0,0.0,1.691787,0.5142356,0.0,2.0173376,0.0,0.0,0.0,0.0,0.0,1.1544814,2.5288599,0.0,1.7760699,0.0,1.054097,1.1403271,1.1887766,1.8156966,0.0,0.0,1.4791,1.963024,1.6889917,1.8579924,0.0,0.0,0.6958462,1.4412024,1.7733333,2.3435678,0.9499907
9,0.0,1.1528631,1.1839397,1.1657654,0.0,2.890985,0.0,0.0,0.0,1.5762955,0.70308447,0.0,2.211788,0.0,0.0,0.0,0.0,0.0,1.4438965,2.6914961,0.0,1.7364151,0.0,1.0486387,1.2328826,1.4229548,2.1498306,0.0,0.0,1.7144291,2.1016357,1.5382754,1.5972435,0.0,0.0,1.3368016,1.0780047,2.667753,2.6007884,0.8398213
10,0.0,1.5662371,1.4367594,1.2502011,0.0,2.8209684,0.0,0.0,0.0,1.5834497,1.0409058,0.0,2.412483,0.0,0.0,0.0,0.0,0.0,1.6903964,2.757242,0.0,1.7976995,0.0,1.1986251,1.5354537,1.6758165,2.5010486,0.0,0.0,1.8994907,2.226147,1.5560145,1.5896497,0.0,0.0,1.8610979,1.0312986,3.2589748,2.7997084,0.9726974
11,0.0,1.9150304,1.721875,1.3196723,0.0,2.7674975,0.0,0.0,0.0,1.6584462,1.3814856,0.0,2.547302,0.0,0.0,0.0,0.0,0.0,1.8491203,2.79213,0.0,1.9208349,0.0,1.364165,1.8835074,1.8698847,2.7876453,0.0,0.0,2.0082617,2.3267744,1.5993255,1.6878796,0.0,0.0,2.2462535,1.0943024,3.635908,2.9228961,1.1429429
12,0.0,2.2433422,2.0526893,1.3759739,0.0,2.6936507,0.0,0.0,0.0,1.7389276,1.7190264,0.0,2.6317253,0.0,0.0,0.0,0.0,0.0,1.9190177,2.7485726,0.0,2.0749023,0.0,1.5902327,2.29663,2.0217087,3.0083687,0.0,0.0,2.068459,2.4379582,1.6309634,1.789876,0.0,0.0,2.5779223,1.1776671,3.873514,2.973528,1.3458215
13,0.0,2.617324,2.4746904,1.5016096,0.0,2.5396268,0.0,0.0,0.0,1.847491,2.0963254,0.0,2.627229,0.0,0.0,0.0,0.0,0.0,1.9486133,2.5666595,0.0,2.2812736,0.0,1.8735001,2.8833132,2.1726007,3.11101,0.0,0.0,2.0673616,2.6069558,1.6539272,1.8846943,0.0,0.0,2.8754926,1.3616054,3.9289882,2.885522,1.6284753
