,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.21047243,0.32796055,0.82302314,0.9009029,0.24151605,0.50930184,0.4553073,0.67972594,0.5726053,0.96045715,0.22632755,0.38140428,0.54294974,0.4518778,0.47201663,0.45519242,0.8880532,0.2724585,0.35446236,0.0974146,0.42608914,0.44490927,0.013597837,0.6130942,0.0067662443,0.40926236,0.37767303,0.3284857,0.71802187,0.30261987,0.4285326,0.3866582,0.9182541,0.10560809,0.7050513,0.644912,0.53662664,0.3227888,0.91462386,0.99811566
1,0.19894394,0.35439754,0.8361022,0.9004895,0.27193055,0.5397731,0.4575742,0.7032258,0.5771348,0.963013,0.21783175,0.39892593,0.54152507,0.45101076,0.48384976,0.47599563,0.8966406,0.26087764,0.38713282,0.09029355,0.40132484,0.44129243,0.014047874,0.62044036,0.007040409,0.39002466,0.3571176,0.35335225,0.7121306,0.33405444,0.4217479,0.40328404,0.9091702,0.09930219,0.68148774,0.64616007,0.5259656,0.32437852,0.91041625,0.9979171
2,0.18917571,0.3677458,0.8511431,0.8962808,0.30043697,0.5469871,0.44585848,0.70557386,0.58555055,0.96630347,0.21319635,0.39125833,0.547473,0.43744162,0.47029686,0.47945336,0.90297705,0.24945925,0.42209497,0.09161071,0.3739436,0.45854914,0.01659457,0.65046746,0.008188623,0.35272944,0.3280114,0.36960426,0.702344,0.3671732,0.40131024,0.42750573,0.89451486,0.09726796,0.6617354,0.637789,0.516487,0.33369985,0.9062789,0.9975719
3,0.18574753,0.36205837,0.86817443,0.89154285,0.31790173,0.52248394,0.42460197,0.68101746,0.595786,0.9691241,0.21758287,0.36085218,0.5570404,0.40720913,0.43698397,0.46671498,0.9065215,0.23881027,0.45524982,0.102534115,0.3515743,0.49887234,0.021528136,0.6963246,0.010362536,0.30977175,0.29247865,0.37408334,0.6907033,0.3984367,0.36837354,0.4531404,0.875081,0.10164885,0.65384066,0.61682093,0.50897783,0.34467733,0.9016268,0.9971009
4,0.19048727,0.33877844,0.88431567,0.8891104,0.3203669,0.4664163,0.40191317,0.6289408,0.6051625,0.9706659,0.23362559,0.32070726,0.56465125,0.36398587,0.39727238,0.44366714,0.9071523,0.22863285,0.47996098,0.12301016,0.338448,0.5525223,0.028271377,0.74322575,0.01338837,0.27554744,0.25563464,0.36676416,0.67880994,0.42174688,0.33082098,0.4707202,0.85532075,0.11267959,0.66140157,0.58628535,0.5045836,0.3512566,0.8965895,0.9966222
5,0.20139682,0.30806306,0.89615023,0.8897662,0.3090517,0.39608958,0.38697475,0.5624983,0.61060524,0.9707482,0.25903744,0.28553653,0.5663086,0.31882447,0.36443052,0.4203084,0.90549284,0.2187614,0.48924634,0.14965814,0.3354622,0.60002995,0.034661427,0.77740955,0.016436161,0.2589817,0.22592199,0.34932637,0.6673579,0.43096927,0.3004768,0.4736359,0.8422104,0.12846868,0.68173605,0.5550587,0.50398403,0.34992653,0.8919822,0.99630606
6,0.21458504,0.28162628,0.9015313,0.8920443,0.2876196,0.33496213,0.3839253,0.5049403,0.6096883,0.96955407,0.28635612,0.26379442,0.56262916,0.28267762,0.34489042,0.4072813,0.9034333,0.20957232,0.4779881,0.17472634,0.34225175,0.62702215,0.038201902,0.79328597,0.018344887,0.26160163,0.20970224,0.32602608,0.6580118,0.4230066,0.2872722,0.4630955,0.8397886,0.14521237,0.7063263,0.5333157,0.505041,0.34203923,0.8890007,0.99623543
7,0.22627017,0.26595855,0.89952743,0.89322907,0.262735,0.29571703,0.39085135,0.47145933,0.6009308,0.9675734,0.30921683,0.25760156,0.55795926,0.26071307,0.33882314,0.41019154,0.9022695,0.20131458,0.4447736,0.18965773,0.35892677,0.6300197,0.038109113,0.7920255,0.018502355,0.28134406,0.20710248,0.30180895,0.6541478,0.40002954,0.29515076,0.44571683,0.84681714,0.15828584,0.7256899,0.52785903,0.50616455,0.33040598,0.88874704,0.9963624
8,0.23303014,0.26425073,0.88984734,0.89012307,0.24374852,0.28334406,0.4014314,0.4666671,0.58382565,0.9657724,0.32552806,0.26586902,0.55695534,0.25429836,0.3426489,0.4266046,0.9010933,0.19494693,0.39482185,0.18904269,0.3857008,0.6101726,0.035346027,0.7775982,0.01713217,0.31373793,0.21419215,0.28011218,0.6585661,0.3692851,0.32283756,0.42944884,0.8595618,0.16385734,0.7336669,0.54216313,0.50885254,0.3167788,0.8922241,0.9965918
9,0.2332421,0.2786886,0.87310123,0.87954354,0.23906426,0.30234584,0.40700755,0.49099085,0.5593827,0.96530414,0.33523467,0.28528845,0.561661,0.26446822,0.35015276,0.44728518,0.8976784,0.19275971,0.34043655,0.17266564,0.41973338,0.5691259,0.031391926,0.7551418,0.0149184475,0.35146266,0.22583571,0.2625495,0.670894,0.33877185,0.36385173,0.42100605,0.87432617,0.16042294,0.7278668,0.576921,0.5164781,0.30257994,0.8999234,0.9968484
